Symbiont accepted name;Host accepted name;Ocean origin;Region origin;Country origin
Parvilucifera rostrata;Alexandrium tamutum;English Channel;Penzé estuary;France
Parvilucifera rostrata;Gonyaulax spinifera;English Channel;Penzé estuary;France
Parvilucifera rostrata;Gymnodinium aureolum;English Channel;Penzé estuary;France
Parvilucifera rostrata;Heterocapsa triquetra;English Channel;Penzé estuary;France
Parvilucifera rostrata;Kryptoperidinium foliaceum;English Channel;Penzé estuary;France
Parvilucifera rostrata;Scrippsiella donghaienis;English Channel;Penzé estuary;France
Parvilucifera rostrata;Scrippsiella trochoidea_STR1;English Channel;Penzé estuary;France
Parvilucifera rostrata;Scrippsiella acuminata;English Channel;Penzé estuary;France
Parvilucifera rostrata;Akashiwo sanguinea;English Channel;Penzé estuary;France
Amoebophrya ceratii-Clade-4;Alexandrium affine;Sea of Japan;Kusuan;South Korea
Amoebophrya ceratii-Clade-33;Gonyaulax polygramma;Sea of Japan;Kusuan;South Korea
Amoebophrya ceratii-species complex;Dinophysis norvegica;Baltic Sea;;
Amoebophrya ceratii-species complex;Dinophysis acuminata;Baltic Sea;;
Amoebophrya ceratii-species complex;Amphisolenia globifera;Mediterranean Sea;Western basin;
Amoebophrya ceratii-species complex;Ornithocercus carolinae;Mediterranean Sea;Ionian Sea;
Amoebophrya ceratii-species complex;Tripos contrarium;Mediterranean Sea;Western basin;
Amoebophrya ceratii-species complex;Tripos contrarium;Mediterranean Sea;Levantine Sea;
Amoebophrya ceratii-species complex;Tripos fusus;Mediterranean Sea;Western basin;
Amoebophrya ceratii-species complex;Tripos fusus;Mediterranean Sea;Levantine Sea;
Amoebophrya ceratii-species complex;Tripos horridum;Mediterranean Sea;Levantine Sea;
Amoebophrya ceratii-species complex;Tripos minutum;Mediterranean Sea;Western basin;
Amoebophrya ceratii-species complex;Tripos minutum;Mediterranean Sea;Levantine Sea;
Amoebophrya ceratii-species complex;Tripos pentagonum;Mediterranean Sea;Western basin;
Amoebophrya ceratii-species complex;Tripos pulchellus;Mediterranean Sea;Western basin;
Amoebophrya ceratii-species complex;Tripos trichoceros;Mediterranean Sea;Western basin;
Amoebophrya ceratii-species complex;Tripos muelleri;Mediterranean Sea;Western basin;
Amoebophrya ceratii-species complex;Gonyaulax fragilis;Mediterranean Sea;Western basin;
Amoebophrya ceratii-species complex;Blepharocysta paulseni;Mediterranean Sea;Western basin;
Amoebophrya ceratii-species complex;Podolampas bipes;Mediterranean Sea;Western basin;
Amoebophrya ceratii-species complex;Podolampas spinifera;Mediterranean Sea;Western basin;
Amoebophrya ceratii-species complex;Tripos muelleri;Mediterranean Sea;Levantine Sea;
Amoebophrya ceratii-species complex;Gonyaulax fragilis;Mediterranean Sea;Levantine Sea;
Amoebophrya ceratii-species complex;Gonyaulax polygramma;Mediterranean Sea;Levantine Sea;
Amoebophrya ceratii-species complex;Blepharocysta paulseni;Mediterranean Sea;Levantine Sea;
Amoebophrya ceratii-species complex;Podolampas spinifera;Mediterranean Sea;Levantine Sea;
Amoebophrya ceratii-species complex;Blepharocysta paulseni;Mediterranean Sea;Ionian Sea;
